model,rmse,mse,mae,r2
Random Forest,0.9559299061011745,0.9138019853786002,0.39677813074433665,0.9833884883363057
Gradient Boosting,0.9876259034240528,0.9754049251141764,0.4511606881949678,0.9822686418396805
Classical,1.300628551030313,1.691634627755212,0.6853314346943605,0.9692486897607009
MLP,1.8023681848935122,3.2485310739163338,0.5608931533172903,0.9409467119926678
KNN,2.026666303885484,4.1073763073048495,0.634530494324494,0.9253342293760638
MLP,2.1436990649859853,4.595445681221787,0.605484446466515,0.9164618804128974
XGBoost,2.1577770968122554,4.6560019995275255,0.5025497688044156,0.9153610598807234
LightGBM,2.3097806514971424,5.335086658030564,0.5204617862639214,0.9030163474530245
MLP,2.6431164194006986,6.9860644065055695,0.6860088900193569,0.8730041166151481
MLP,2.643149071895495,6.986237016262017,0.577011729441921,0.873000978835817
SVR,3.1064948756358612,9.650310412351866,0.555425587764402,0.8245722305947535
MLP,3.5860835954247676,12.85999555337463,0.732191009772904,0.7662251017747219
Elastic Net,4.941757398661423,24.420966187224916,2.3180151668552527,0.5560644744170735
Linear Regression,4.943898623639356,24.442133600823116,2.3197574289701492,0.555679683462903
MLP,7.697450981521377,59.250751612924404,0.7846118467047681,-0.07708734195074185
MLP,11.635584775558216,135.38683306920217,0.7803486795344802,-1.461123955325947
MLP,42544.20407139464,1810009300.0684724,296.7383042832945,-32903178.33269254
